radiant,dire,win_radiant,pick_radiant,pick_dire
PSG.LGD,Team Spirit,True,"[66, 47, 86, 13, 14]","[19, 33, 50, 12, 100]"
Team Spirit,PSG.LGD,True,"[47, 136, 3, 114, 39]","[15, 50, 89, 100, 90]"
Team Spirit,PSG.LGD,True,"[19, 22, 38, 79, 18]","[7, 43, 3, 89, 98]"
Team Spirit,PSG.LGD,True,"[66, 39, 86, 99, 2]","[15, 107, 23, 91, 81]"
Team Aster,Team Spirit,False,"[19, 112, 78, 99, 22]","[13, 128, 86, 69, 8]"
Team Aster,Team Spirit,False,"[19, 50, 135, 43, 41]","[66, 22, 17, 8, 129]"
Team Aster,Team Spirit,True,"[19, 50, 135, 43, 41]","[66, 22, 17, 8, 129]"
Team Aster,Team Spirit,False,"[66, 17, 7, 98, 95]","[19, 110, 91, 129, 46]"
OG,Team Aster,False,"[7, 13, 58, 114, 102]","[19, 50, 33, 14, 95]"
Team Aster,OG,False,"[66, 41, 17, 128, 135]","[15, 103, 112, 120, 42]"
OG,Team Aster,False,"[15, 13, 58, 100, 8]","[112, 41, 88, 22, 78]"
PSG.LGD,Team Spirit,True,"[19, 5, 98, 110, 44]","[66, 136, 114, 129, 128]"
PSG.LGD,Team Spirit,True,"[58, 41, 7, 17, 135]","[15, 136, 46, 51, 126]"
OG,beastcoast,True,"[7, 15, 111, 70, 74]","[136, 65, 86, 4, 120]"
beastcoast,OG,True,"[58, 15, 7, 70, 78]","[98, 136, 4, 21, 22]"
beastcoast,OG,False,"[66, 70, 51, 40, 46]","[98, 88, 103, 113, 106]"
Entity,Team Aster,False,"[112, 19, 3, 33, 108]","[66, 17, 7, 135, 4]"
Team Aster,Entity,False,"[50, 17, 73, 86, 120]","[19, 33, 22, 38, 3]"
Team Aster,Entity,True,"[50, 99, 7, 43, 78]","[19, 22, 3, 40, 69]"
beastcoast,Outsiders,False,"[51, 23, 88, 86, 8]","[13, 128, 98, 85, 109]"
beastcoast,Outsiders,True,"[128, 42, 46, 7, 77]","[13, 69, 101, 47, 80]"
beastcoast,Outsiders,True,"[128, 42, 110, 40, 120]","[69, 101, 100, 8, 74]"
BOOM Esports,Entity,False,"[135, 86, 81, 90, 17]","[19, 33, 51, 22, 77]"
Entity,BOOM Esports,False,"[65, 22, 51, 92, 69]","[19, 17, 47, 58, 8]"
Entity,BOOM Esports,True,"[50, 92, 18, 40, 36]","[19, 58, 99, 29, 91]"
Team Aster,Team Spirit,False,"[19, 13, 128, 114, 55]","[15, 126, 66, 86, 46]"
Team Aster,Team Spirit,False,"[19, 43, 110, 14, 89]","[15, 66, 13, 109, 79]"
PSG.LGD,OG,False,"[120, 128, 73, 28, 8]","[66, 4, 91, 17, 95]"
PSG.LGD,OG,True,"[136, 47, 14, 67, 38]","[19, 13, 53, 103, 28]"
PSG.LGD,OG,True,"[15, 19, 50, 120, 73]","[136, 47, 7, 90, 10]"
beastcoast,Fnatic,False,"[112, 128, 100, 65, 95]","[66, 43, 19, 120, 12]"
beastcoast,Fnatic,True,"[19, 13, 58, 81, 108]","[37, 100, 53, 106, 8]"
beastcoast,Fnatic,True,"[19, 25, 103, 81, 97]","[7, 47, 50, 12, 135]"
Royal Never Give Up,Outsiders,False,"[13, 112, 107, 109, 90]","[19, 101, 43, 136, 4]"
Royal Never Give Up,Outsiders,False,"[19, 43, 106, 128, 53]","[69, 101, 51, 47, 38]"
Entity,Evil Geniuses,False,"[112, 65, 5, 99, 40]","[50, 17, 60, 136, 48]"
Entity,Evil Geniuses,True,"[92, 112, 60, 33, 3]","[13, 109, 85, 15, 58]"
Evil Geniuses,Entity,False,"[13, 43, 37, 51, 73]","[19, 112, 3, 38, 15]"
Team Liquid,BOOM Esports,False,"[43, 7, 58, 73, 98]","[19, 81, 47, 66, 100]"
BOOM Esports,Team Liquid,False,"[50, 19, 15, 98, 126]","[136, 43, 66, 109, 13]"
Team Liquid,BOOM Esports,False,"[66, 109, 19, 128, 92]","[100, 43, 90, 8, 58]"
Fnatic,Team Aster,False,"[112, 7, 91, 52, 70]","[50, 107, 17, 98, 109]"
Fnatic,Team Aster,False,"[112, 120, 41, 100, 25]","[15, 7, 128, 38, 73]"
Outsiders,Team Spirit,True,"[98, 101, 100, 109, 23]","[136, 47, 50, 70, 126]"
Outsiders,Team Spirit,False,"[136, 65, 53, 64, 55]","[19, 15, 50, 12, 120]"
Outsiders,Team Spirit,False,"[46, 101, 50, 38, 135]","[13, 128, 51, 15, 109]"
OG,Entity,False,"[19, 90, 21, 59, 20]","[66, 65, 99, 112, 92]"
Entity,OG,False,"[65, 112, 102, 92, 69]","[13, 47, 103, 79, 4]"
Entity,OG,False,"[112, 92, 60, 51, 46]","[13, 73, 28, 58, 110]"
BOOM Esports,PSG.LGD,False,"[114, 50, 129, 69, 40]","[43, 7, 41, 58, 22]"
BOOM Esports,PSG.LGD,False,"[19, 13, 98, 58, 94]","[43, 100, 66, 70, 23]"
Team Liquid,Royal Never Give Up,True,"[136, 47, 99, 90, 126]","[13, 15, 102, 109, 88]"
Royal Never Give Up,Team Liquid,True,"[47, 100, 111, 17, 63]","[136, 65, 73, 112, 120]"
Thunder Awaken,PSG.LGD,False,"[50, 114, 100, 74, 55]","[19, 15, 110, 17, 42]"
Thunder Awaken,PSG.LGD,False,"[19, 65, 102, 135, 48]","[47, 66, 106, 100, 99]"
Soniqs,Outsiders,False,"[98, 50, 100, 126, 10]","[136, 65, 128, 8, 36]"
Soniqs,Outsiders,False,"[98, 65, 58, 19, 12]","[136, 43, 111, 70, 52]"
Talon,OG,False,"[135, 65, 92, 83, 3]","[15, 7, 88, 90, 8]"
Talon,OG,False,"[78, 123, 66, 126, 12]","[136, 80, 90, 103, 60]"
PSG.LGD,Royal Never Give Up,True,"[136, 13, 65, 68, 80]","[43, 7, 66, 106, 54]"
Royal Never Give Up,PSG.LGD,False,"[136, 53, 13, 21, 47]","[15, 107, 50, 120, 67]"
OG,Outsiders,False,"[47, 7, 66, 60, 109]","[13, 53, 69, 128, 110]"
Outsiders,OG,True,"[136, 46, 87, 43, 77]","[19, 91, 81, 27, 28]"
Fnatic,Talon,False,"[19, 98, 58, 90, 80]","[135, 66, 86, 41, 65]"
Talon,Fnatic,False,"[66, 78, 112, 106, 109]","[100, 50, 99, 36, 90]"
Team Liquid,Thunder Awaken,True,"[13, 135, 58, 73, 38]","[53, 86, 84, 120, 60]"
Team Liquid,Thunder Awaken,False,"[13, 58, 90, 29, 28]","[88, 112, 53, 135, 114]"
Entity,Evil Geniuses,True,"[66, 19, 22, 41, 78]","[13, 135, 110, 100, 70]"
Evil Geniuses,Entity,False,"[135, 128, 39, 38, 4]","[66, 65, 88, 69, 15]"
BOOM Esports,Team Aster,True,"[112, 8, 129, 128, 90]","[110, 107, 43, 41, 126]"
BOOM Esports,Team Aster,False,"[128, 129, 9, 106, 4]","[112, 107, 13, 99, 43]"
Natus Vincere,Team Spirit,False,"[135, 50, 86, 46, 106]","[19, 33, 8, 37, 128]"
Team Spirit,Natus Vincere,True,"[19, 136, 86, 10, 129]","[15, 51, 135, 128, 22]"
beastcoast,Tundra Esports,False,"[19, 65, 106, 45, 95]","[13, 49, 22, 54, 92]"
beastcoast,Tundra Esports,True,"[112, 46, 128, 88, 42]","[13, 49, 110, 81, 73]"
Fnatic,Soniqs,True,"[13, 43, 100, 64, 12]","[112, 23, 27, 94, 78]"
Soniqs,Fnatic,False,"[112, 23, 86, 94, 38]","[13, 100, 66, 36, 8]"
Thunder Awaken,OG,False,"[50, 114, 128, 46, 23]","[98, 33, 74, 73, 53]"
Thunder Awaken,OG,False,"[47, 23, 114, 128, 100]","[120, 66, 7, 8, 81]"
Outsiders,PSG.LGD,False,"[69, 50, 100, 23, 25]","[136, 80, 19, 90, 112]"
Outsiders,PSG.LGD,False,"[13, 98, 128, 8, 33]","[126, 66, 7, 70, 60]"
Talon,Team Liquid,False,"[50, 15, 27, 22, 4]","[19, 13, 53, 110, 77]"
Talon,Team Liquid,True,"[13, 66, 83, 92, 12]","[19, 15, 110, 126, 46]"
BOOM Esports,Team Spirit,True,"[86, 135, 21, 38, 17]","[50, 19, 22, 41, 2]"
BOOM Esports,Team Spirit,False,"[47, 135, 74, 136, 66]","[19, 50, 120, 33, 109]"
beastcoast,Entity,True,"[66, 23, 88, 60, 90]","[112, 13, 51, 15, 73]"
beastcoast,Entity,False,"[135, 60, 88, 43, 47]","[112, 13, 51, 4, 110]"
Team Aster,Tundra Esports,True,"[19, 50, 14, 17, 89]","[15, 136, 65, 37, 38]"
Tundra Esports,Team Aster,False,"[112, 69, 63, 70, 74]","[19, 110, 17, 98, 53]"
Natus Vincere,Evil Geniuses,False,"[126, 101, 66, 81, 29]","[13, 38, 37, 128, 80]"
Evil Geniuses,Natus Vincere,True,"[15, 50, 107, 17, 70]","[112, 41, 51, 90, 1]"
Soniqs,PSG.LGD,True,"[112, 136, 91, 99, 49]","[135, 22, 103, 27, 63]"
Soniqs,PSG.LGD,False,"[91, 99, 126, 63, 135]","[43, 19, 50, 23, 109]"
Thunder Awaken,Outsiders,True,"[128, 120, 84, 10, 74]","[136, 69, 87, 15, 19]"
Thunder Awaken,Outsiders,False,"[128, 120, 84, 39, 12]","[136, 50, 65, 8, 106]"
Royal Never Give Up,OG,False,"[135, 126, 26, 46, 112]","[7, 13, 66, 108, 48]"
OG,Royal Never Give Up,True,"[136, 80, 91, 65, 114]","[15, 50, 108, 27, 12]"
Fnatic,Team Liquid,True,"[19, 98, 50, 90, 41]","[136, 112, 22, 8, 69]"
Fnatic,Team Liquid,True,"[13, 100, 66, 47, 81]","[60, 50, 7, 8, 90]"
Tundra Esports,Evil Geniuses,False,"[126, 27, 66, 81, 78]","[13, 50, 135, 128, 4]"
Evil Geniuses,Tundra Esports,False,"[50, 136, 43, 53, 126]","[15, 135, 92, 84, 123]"
beastcoast,Team Aster,False,"[51, 13, 72, 37, 128]","[19, 50, 33, 99, 22]"
beastcoast,Team Aster,True,"[128, 107, 66, 65, 95]","[114, 92, 13, 37, 12]"
BOOM Esports,Natus Vincere,True,"[112, 81, 129, 9, 17]","[136, 15, 128, 65, 114]"
Natus Vincere,BOOM Esports,False,"[136, 90, 53, 50, 69]","[19, 47, 106, 29, 114]"
Entity,Team Spirit,False,"[19, 22, 3, 98, 77]","[112, 129, 38, 128, 70]"
Team Spirit,Entity,False,"[112, 129, 38, 9, 54]","[22, 19, 60, 66, 77]"
Soniqs,OG,True,"[13, 100, 58, 109, 40]","[15, 60, 114, 21, 69]"
Soniqs,OG,False,"[13, 10, 63, 100, 77]","[15, 7, 91, 17, 95]"
Team Liquid,PSG.LGD,False,"[80, 50, 135, 114, 123]","[13, 58, 29, 128, 46]"
PSG.LGD,Team Liquid,True,"[15, 66, 7, 70, 36]","[19, 136, 4, 97, 111]"
Talon,Royal Never Give Up,False,"[19, 13, 128, 43, 94]","[15, 112, 101, 49, 1]"
Talon,Royal Never Give Up,False,"[112, 19, 25, 120, 35]","[135, 22, 84, 26, 99]"
Thunder Awaken,Fnatic,False,"[50, 120, 86, 23, 22]","[19, 13, 37, 53, 8]"
Thunder Awaken,Fnatic,True,"[128, 120, 50, 106, 99]","[19, 4, 37, 53, 136]"
Team Spirit,Team Aster,True,"[19, 47, 86, 126, 10]","[15, 112, 136, 14, 109]"
Team Aster,Team Spirit,True,"[19, 50, 17, 67, 92]","[15, 112, 106, 101, 95]"
Natus Vincere,Tundra Esports,True,"[13, 51, 50, 98, 54]","[19, 73, 86, 81, 58]"
Tundra Esports,Natus Vincere,False,"[19, 15, 112, 120, 54]","[136, 47, 126, 128, 46]"
BOOM Esports,Entity,False,"[112, 106, 7, 53, 70]","[19, 13, 3, 99, 15]"
BOOM Esports,Entity,False,"[19, 43, 120, 37, 70]","[65, 66, 22, 73, 40]"
beastcoast,Evil Geniuses,False,"[51, 8, 21, 106, 40]","[47, 136, 112, 38, 94]"
beastcoast,Evil Geniuses,True,"[23, 27, 19, 90, 48]","[13, 43, 58, 100, 46]"
Fnatic,PSG.LGD,False,"[136, 37, 46, 98, 81]","[135, 27, 22, 43, 4]"
PSG.LGD,Fnatic,True,"[120, 50, 112, 73, 49]","[136, 46, 110, 53, 126]"
Talon,Soniqs,True,"[19, 13, 112, 94, 33]","[15, 46, 136, 128, 60]"
Talon,Soniqs,True,"[19, 13, 60, 58, 14]","[112, 15, 88, 52, 42]"
Thunder Awaken,Royal Never Give Up,False,"[19, 13, 120, 3, 73]","[50, 107, 126, 99, 36]"
Thunder Awaken,Royal Never Give Up,False,"[120, 50, 86, 53, 106]","[19, 13, 58, 47, 8]"
Outsiders,Team Liquid,True,"[136, 69, 50, 36, 25]","[19, 135, 91, 99, 128]"
Team Liquid,Outsiders,True,"[15, 112, 88, 8, 22]","[19, 65, 101, 81, 100]"
beastcoast,BOOM Esports,True,"[135, 13, 92, 81, 112]","[15, 19, 86, 7, 8]"
beastcoast,BOOM Esports,True,"[51, 128, 13, 103, 42]","[50, 129, 23, 86, 41]"
Evil Geniuses,Team Spirit,True,"[13, 135, 100, 33, 80]","[50, 126, 114, 22, 69]"
Team Spirit,Evil Geniuses,False,"[126, 110, 51, 35, 65]","[13, 47, 66, 128, 67]"
Thunder Awaken,Soniqs,True,"[19, 98, 114, 84, 22]","[15, 136, 3, 48, 120]"
Thunder Awaken,Soniqs,False,"[22, 65, 84, 108, 114]","[46, 19, 58, 126, 78]"
Entity,Tundra Esports,False,"[66, 13, 88, 78, 99]","[22, 69, 37, 81, 49]"
Tundra Esports,Entity,False,"[22, 19, 50, 43, 89]","[112, 92, 66, 81, 33]"
Talon,Outsiders,False,"[43, 50, 88, 25, 69]","[19, 13, 8, 64, 55]"
Talon,Outsiders,False,"[19, 15, 111, 47, 99]","[136, 65, 46, 50, 38]"
PSG.LGD,OG,True,"[100, 53, 112, 8, 58]","[47, 99, 90, 7, 106]"
PSG.LGD,OG,True,"[15, 126, 7, 66, 81]","[136, 13, 91, 59, 69]"
Fnatic,Royal Never Give Up,False,"[13, 38, 86, 50, 114]","[88, 53, 112, 14, 47]"
Royal Never Give Up,Fnatic,False,"[22, 112, 8, 86, 33]","[136, 65, 14, 37, 41]"
Team Aster,Natus Vincere,True,"[19, 37, 13, 41, 92]","[15, 51, 126, 101, 49]"
Natus Vincere,Team Aster,True,"[51, 13, 91, 72, 20]","[19, 33, 46, 87, 60]"
beastcoast,Natus Vincere,False,"[128, 23, 7, 40, 8]","[13, 19, 112, 43, 1]"
beastcoast,Natus Vincere,False,"[19, 4, 98, 50, 21]","[136, 15, 66, 114, 90]"
Entity,Team Aster,False,"[19, 13, 66, 43, 33]","[112, 114, 14, 135, 81]"
Team Aster,Entity,True,"[112, 88, 33, 46, 77]","[19, 60, 37, 22, 40]"
BOOM Esports,Evil Geniuses,True,"[135, 106, 86, 90, 81]","[112, 13, 7, 73, 65]"
BOOM Esports,Evil Geniuses,True,"[43, 136, 86, 23, 46]","[19, 53, 112, 22, 60]"
Tundra Esports,Team Spirit,False,"[136, 63, 90, 98, 69]","[15, 86, 23, 84, 11]"
Tundra Esports,Team Spirit,False,"[112, 38, 46, 51, 95]","[13, 128, 58, 12, 129]"
OG,Team Liquid,False,"[15, 112, 7, 65, 70]","[19, 135, 90, 99, 20]"
Team Liquid,OG,False,"[15, 99, 123, 120, 45]","[136, 80, 91, 28, 65]"
Soniqs,Royal Never Give Up,True,"[13, 112, 135, 77, 8]","[19, 53, 88, 121, 73]"
Soniqs,Royal Never Give Up,False,"[13, 50, 135, 94, 20]","[19, 33, 84, 46, 106]"
Thunder Awaken,Talon,True,"[128, 13, 50, 81, 120]","[43, 136, 87, 126, 94]"
Thunder Awaken,Talon,False,"[19, 22, 84, 40, 60]","[50, 114, 13, 92, 35]"
Fnatic,Outsiders,True,"[136, 43, 37, 114, 55]","[19, 98, 101, 81, 22]"
Outsiders,Fnatic,True,"[19, 65, 46, 64, 69]","[37, 114, 120, 43, 73]"
Team Aster,Evil Geniuses,True,"[19, 50, 13, 109, 98]","[15, 100, 49, 58, 8]"
Evil Geniuses,Team Aster,False,"[112, 53, 100, 65, 77]","[15, 50, 55, 107, 67]"
Natus Vincere,Entity,False,"[19, 39, 58, 8, 29]","[112, 65, 66, 77, 69]"
Natus Vincere,Entity,False,"[19, 22, 5, 78, 48]","[112, 65, 51, 60, 33]"
BOOM Esports,Tundra Esports,False,"[50, 114, 74, 8, 129]","[19, 47, 13, 63, 73]"
