radiant,dire,win_radiant,pick_radiant,pick_dire
OG,Fnatic,False,"[85, 46, 49, 86, 114]","[19, 13, 119, 73, 38]"
Fnatic,OG,False,"[19, 39, 5, 4, 92]","[15, 7, 119, 74, 106]"
Fnatic,OG,False,"[88, 15, 123, 13, 81]","[7, 47, 109, 79, 19]"
Team Aster,Team Secret,True,"[19, 17, 33, 102, 48]","[65, 7, 119, 114, 106]"
Team Secret,Team Aster,False,"[100, 33, 5, 23, 109]","[13, 112, 123, 44, 129]"
Thunder Awaken,OG,False,"[98, 19, 123, 84, 53]","[47, 114, 86, 76, 129]"
OG,Thunder Awaken,False,"[91, 15, 17, 51, 46]","[23, 128, 68, 19, 10]"
Thunder Awaken,OG,False,"[129, 23, 50, 86, 109]","[39, 7, 85, 59, 106]"
Entity,Fnatic,True,"[65, 18, 101, 41, 77]","[123, 17, 57, 129, 35]"
Fnatic,Entity,True,"[65, 85, 88, 73, 15]","[19, 74, 120, 111, 14]"
Fnatic,Entity,True,"[65, 85, 88, 15, 73]","[104, 101, 111, 120, 70]"
Thunder Awaken,Nigma Galaxy,True,"[112, 98, 129, 128, 114]","[58, 135, 86, 10, 120]"
Thunder Awaken,Nigma Galaxy,True,"[112, 98, 106, 123, 18]","[39, 103, 86, 41, 36]"
TSM FTX,Entity,False,"[135, 112, 13, 44, 38]","[33, 65, 68, 88, 73]"
Entity,TSM FTX,True,"[68, 18, 14, 120, 25]","[66, 19, 69, 70, 121]"
OG,Team Secret,True,"[66, 39, 129, 119, 93]","[110, 135, 83, 126, 96]"
Team Secret,OG,True,"[100, 46, 119, 33, 93]","[13, 110, 18, 94, 98]"
Team Secret,OG,True,"[100, 33, 5, 44, 106]","[15, 7, 123, 67, 126]"
Fnatic,Team Aster,False,"[58, 14, 114, 27, 135]","[13, 123, 85, 129, 99]"
Team Aster,Fnatic,False,"[50, 33, 114, 25, 4]","[39, 85, 123, 44, 97]"
Team Aster,Fnatic,True,"[39, 112, 129, 9, 46]","[114, 33, 85, 23, 10]"
TSM FTX,Team Liquid,True,"[39, 27, 85, 38, 70]","[84, 74, 114, 105, 2]"
TSM FTX,Team Liquid,False,"[37, 65, 86, 96, 10]","[19, 135, 102, 93, 103]"
Nigma Galaxy,Fnatic,True,"[66, 100, 86, 14, 41]","[19, 13, 46, 103, 90]"
Fnatic,Nigma Galaxy,True,"[58, 19, 23, 70, 29]","[39, 14, 110, 7, 22]"
BOOM Esports,OG,True,"[65, 51, 119, 129, 81]","[58, 41, 74, 79, 16]"
OG,BOOM Esports,False,"[129, 105, 91, 46, 28]","[66, 120, 119, 23, 14]"
Team Secret,Talon,True,"[100, 65, 51, 15, 106]","[135, 58, 3, 120, 33]"
Team Secret,Talon,False,"[25, 18, 105, 77, 63]","[39, 51, 135, 74, 137]"
Team Aster,Entity,False,"[13, 121, 71, 135, 18]","[65, 19, 3, 4, 77]"
Team Aster,Entity,True,"[19, 39, 111, 95, 129]","[65, 18, 33, 57, 52]"
Alliance,Thunder Awaken,False,"[66, 69, 15, 128, 54]","[112, 23, 9, 96, 114]"
Thunder Awaken,Alliance,False,"[66, 96, 128, 15, 106]","[69, 9, 112, 39, 81]"
BOOM Esports,Team Liquid,False,"[81, 50, 86, 120, 8]","[43, 13, 78, 119, 73]"
Team Liquid,BOOM Esports,False,"[90, 99, 88, 15, 120]","[135, 65, 129, 119, 44]"
OG,Nigma Galaxy,True,"[39, 103, 7, 59, 114]","[66, 41, 53, 107, 92]"
Nigma Galaxy,OG,False,"[103, 58, 137, 90, 4]","[66, 114, 47, 120, 73]"
Fnatic,TSM FTX,False,"[90, 38, 86, 78, 48]","[39, 88, 37, 44, 55]"
TSM FTX,Fnatic,False,"[128, 129, 9, 84, 94]","[19, 58, 114, 17, 92]"
Fnatic,Team Liquid,True,"[19, 13, 4, 79, 40]","[90, 99, 88, 65, 14]"
Fnatic,Team Liquid,False,"[13, 100, 58, 14, 65]","[90, 60, 7, 15, 39]"
